Model_Name,MaskingRate,RandomSeed,loss,alpha
Modified Steamboat (UNI),0.9,0,0.09917006641626358,0.09820307766200924
Modified Steamboat (UNI),1.0,0,0.10148580372333527,0.10657689720392227
Modified Steamboat (UNI),1.0,2,0.10012758523225784,0.03942044824361801
Modified Steamboat (UNI),1.0,1,0.09841462224721909,0.05143997073173523
Modified Steamboat (UNI),0.9,1,0.1038517951965332,0.1922868214337111
Modified Steamboat (UNI),0.9,2,0.0991494208574295,0.07657150069334032
Modified Steamboat (UNI),0.8,0,0.10635548084974289,0.010934252728743604
Modified Steamboat (UNI),0.8,1,0.09884659945964813,0.17646308951093168
Modified Steamboat (UNI),0.8,2,0.09874891489744186,0.15661839017876994
Modified Steamboat (UNI),0.7,2,0.09782599657773972,0.11777249334788518
Modified Steamboat (UNI),0.7,0,0.09540940076112747,0.13100062840829016
Modified Steamboat (UNI),0.5,1,0.10895159840583801,0.0032209203800530203
Modified Steamboat (UNI),0.7,1,0.09707559645175934,0.14695231357154953
Modified Steamboat (UNI),0.5,2,0.09039212763309479,0.03822959060360331
Modified Steamboat (UNI),0.6,0,0.0938391387462616,0.08771235359387633
Modified Steamboat (UNI),0.6,1,0.09190090745687485,0.08570982268490213
Modified Steamboat (UNI),0.4,2,0.11478511244058609,0.0039744054711250715
Modified Steamboat (UNI),0.6,2,0.09379319846630096,0.2363897861766526
Modified Steamboat (UNI),0.5,0,0.08843695372343063,0.11350072685956963
Modified Steamboat (UNI),0.3,1,0.1026495024561882,0.008739039846808211
Modified Steamboat (UNI),0.3,0,0.09156933426856995,0.003617177797603461
Modified Steamboat (UNI),0.4,0,0.08440769463777542,0.3526070971745766
Modified Steamboat (UNI),0.2,2,0.09063957631587982,0.0023505241277845747
Modified Steamboat (UNI),0.1,0,0.10229956358671188,0.0031712481725304853
Modified Steamboat (UNI),0.3,2,0.08669421821832657,0.0024960289226658027
Modified Steamboat (UNI),0.1,2,0.09420710057020187,0.0027113184712532785
Modified Steamboat (UNI),0.0,0,0.09191932529211044,0.0006388366638603661
Modified Steamboat (UNI),0.0,1,0.07821931689977646,0.0042282676346117095
Modified Steamboat (UNI),0.4,1,0.0847448781132698,0.0042633689162420215
Modified Steamboat (UNI),0.2,1,0.08318699896335602,0.015012798917894431
Modified Steamboat (UNI),0.2,0,0.07522325217723846,0.005991787495990633
Modified Steamboat (UNI),0.1,1,0.0703628733754158,0.011030191307191751
Modified Steamboat (UNI),0.0,2,0.08804826438426971,0.1948163140534696
Modified Steamboat (No Morpho),1.0,0,0.18324966728687286,0.4790476858615875
Modified Steamboat (No Morpho),1.0,2,0.18324966728687286,0.44616249203681946
Modified Steamboat (No Morpho),1.0,1,0.18324966728687286,0.42132121324539185
Modified Steamboat (No Morpho),0.9,2,0.12905137240886688,0.6221664374196816
Modified Steamboat (No Morpho),0.9,1,0.16078528761863708,0.3690017110370944
Modified Steamboat (No Morpho),0.7,1,0.16930919885635376,0.581765366492775
Modified Steamboat (No Morpho),0.7,2,0.18059386312961578,0.582174197789392
Modified Steamboat (No Morpho),0.8,0,0.11112075299024582,0.6010730669537526
Modified Steamboat (No Morpho),0.6,1,0.13633984327316284,0.20141779929955175
Modified Steamboat (No Morpho),0.6,0,0.15510833263397217,0.6396420492892442
Modified Steamboat (No Morpho),0.8,2,0.10819908231496811,0.6516389912751253
Modified Steamboat (No Morpho),0.9,0,0.11716987937688828,0.5866358668081012
Modified Steamboat (No Morpho),0.5,2,0.15695786476135254,0.5993720617526674
Modified Steamboat (No Morpho),0.8,1,0.10953839123249054,0.36486870372974983
Modified Steamboat (No Morpho),0.7,0,0.10772832483053207,0.7653690536714187
Modified Steamboat (No Morpho),0.6,2,0.10932057350873947,0.5601825225249019
Modified Steamboat (No Morpho),0.5,0,0.09220912307500839,0.018071979054267183
Modified Steamboat (No Morpho),0.4,0,0.08618441969156265,0.023378280378890677
Modified Steamboat (No Morpho),0.5,1,0.0891897976398468,0.09144328882751045
Modified Steamboat (No Morpho),0.4,1,0.08428118377923965,0.9581572146598454
Modified Steamboat (No Morpho),0.4,2,0.1147570088505745,0.6405132688993508
Modified Steamboat (No Morpho),0.2,2,0.19001564383506775,0.5626443345189478
Modified Steamboat (No Morpho),0.3,0,0.07933908700942993,0.005761421770271944
Modified Steamboat (No Morpho),0.3,1,0.07972508668899536,0.9905826572980254
Modified Steamboat (No Morpho),0.1,0,0.07927475869655609,0.004633307818407567
Modified Steamboat (No Morpho),0.3,2,0.10216521471738815,0.5862773006245057
Modified Steamboat (No Morpho),0.0,0,0.08640499413013458,0.008858943018873926
Modified Steamboat (No Morpho),0.0,1,0.11210285127162933,0.010485263626112956
Modified Steamboat (No Morpho),0.2,0,0.07431632280349731,0.0623139674591596
Modified Steamboat (No Morpho),0.2,1,0.07557245343923569,0.5709534411877127
Modified Steamboat (No Morpho),0.1,2,0.10101976245641708,0.7307812408221986
Modified Steamboat (No Morpho),0.1,1,0.0681714341044426,0.015218487808551492
Modified Steamboat (No Morpho),0.0,2,0.0693582147359848,0.011175561964281665
Modified Steamboat (NOISE),1.0,1,0.15752486884593964,0.6263315677642822
Modified Steamboat (NOISE),1.0,0,0.13459427654743195,0.6620827317237854
Modified Steamboat (NOISE),0.8,1,0.101055808365345,0.30702992830092896
Modified Steamboat (NOISE),0.7,0,0.153188556432724,0.005948584472816261
Modified Steamboat (NOISE),0.9,0,0.11611203849315643,0.0725470281509101
Modified Steamboat (NOISE),0.9,1,0.09869224578142166,0.3440845563222424
Modified Steamboat (NOISE),0.8,0,0.10937026888132095,0.09731780128538627
Modified Steamboat (NOISE),0.9,2,0.11489318311214447,0.07348547216292761
Modified Steamboat (NOISE),0.8,2,0.09904804080724716,0.24486547446646403
Modified Steamboat (NOISE),0.6,1,0.09537731856107712,0.1102257858659188
Modified Steamboat (NOISE),0.7,1,0.08987203240394592,0.2689180175648239
Modified Steamboat (NOISE),0.6,0,0.08872397989034653,0.3695807380791159
Modified Steamboat (NOISE),0.7,2,0.09934330731630325,0.014050610746593235
Modified Steamboat (NOISE),0.6,2,0.09084147214889526,0.335963106847343
Modified Steamboat (NOISE),0.5,0,0.08957397192716599,0.014298727009031221
Modified Steamboat (NOISE),0.5,1,0.08303970843553543,0.3182723672367568
Modified Steamboat (NOISE),0.4,0,0.08318877220153809,0.22268848567073132
Modified Steamboat (NOISE),0.5,2,0.08795536309480667,0.061814337898774496
Modified Steamboat (NOISE),0.4,1,0.08376788347959518,0.150109213304875
Modified Steamboat (NOISE),0.4,2,0.08084652572870255,0.164599036647786
Modified Steamboat (NOISE),0.3,0,0.07633790373802185,0.37987067698339966
Modified Steamboat (NOISE),0.3,1,0.07544348388910294,0.4387198759165846
Modified Steamboat (NOISE),0.3,2,0.07947523891925812,0.28765192751109153
Modified Steamboat (NOISE),0.2,0,0.07925043255090714,0.024817686046630982
Modified Steamboat (NOISE),0.1,1,0.08480477333068848,0.9469789852998243
Modified Steamboat (NOISE),0.2,1,0.07217332720756531,0.1684381430306758
Modified Steamboat (NOISE),0.2,2,0.07443613559007645,0.22288235603025836
Modified Steamboat (NOISE),0.1,0,0.07006560266017914,0.0916693748824714
Modified Steamboat (NOISE),0.0,1,0.06866084784269333,0.1057811226903822
Modified Steamboat (NOISE),0.1,2,0.08335811644792557,0.8958400437780438
Modified Steamboat (NOISE),0.0,0,0.06665781885385513,0.24172514974967152
Modified Steamboat (NOISE),0.0,2,0.06756952404975891,0.41746083201736384
