Model_Name,MaskingRate,RandomSeed,loss,alpha
Multi-Modal Steamboat (UNI),1.0,0,0.10183935612440109,1.804525735439308e-10
Multi-Modal Steamboat (UNI),1.0,1,0.1018393486738205,2.2404917602223397e-08
Multi-Modal Steamboat (UNI),1.0,2,0.1018393486738205,8.339675295702448e-08
Multi-Modal Steamboat (UNI),0.8,2,0.0966653823852539,0.9999999592033743
Multi-Modal Steamboat (UNI),0.9,1,0.08871310204267502,0.9999982957023034
Multi-Modal Steamboat (UNI),0.6,1,0.09221158921718597,0.00031207430599755804
Multi-Modal Steamboat (UNI),0.8,1,0.08722739666700363,0.99997172386618
Multi-Modal Steamboat (UNI),0.7,2,0.09664980322122574,0.9999999907516703
Multi-Modal Steamboat (UNI),0.9,0,0.0852748304605484,0.9999999977148077
Multi-Modal Steamboat (UNI),0.7,1,0.09054906666278839,1.1966809062684795e-23
Multi-Modal Steamboat (UNI),0.5,1,0.07127144187688828,1.8098027672106106e-25
Multi-Modal Steamboat (UNI),0.4,1,0.08231856673955917,2.5226990741027494e-09
Multi-Modal Steamboat (UNI),0.4,2,0.08866988867521286,0.9999999546867702
Multi-Modal Steamboat (UNI),0.3,0,0.09316716343164444,3.477678018881422e-18
Multi-Modal Steamboat (UNI),0.7,0,0.06705885380506516,2.81145404375687e-23
Multi-Modal Steamboat (UNI),0.6,2,0.08226606249809265,0.999999982167575
Multi-Modal Steamboat (UNI),0.3,1,0.05866499990224838,6.27187556508153e-08
Multi-Modal Steamboat (UNI),0.8,0,0.05775837600231171,3.2577929489465145e-08
Multi-Modal Steamboat (UNI),0.1,0,0.09706488251686096,9.536693557590177e-09
Multi-Modal Steamboat (UNI),0.4,0,0.05581505596637726,2.231670320515166e-17
Multi-Modal Steamboat (UNI),0.9,2,0.07582516223192215,0.9999999993810544
Multi-Modal Steamboat (UNI),0.1,1,0.05783688277006149,1.1734843342564054e-17
Multi-Modal Steamboat (UNI),0.6,0,0.05578063800930977,5.428988095970404e-20
Multi-Modal Steamboat (UNI),0.3,2,0.057021576911211014,4.078133652693608e-17
Multi-Modal Steamboat (UNI),0.5,2,0.06777061522006989,0.9997943854018381
Multi-Modal Steamboat (UNI),0.0,2,0.09295497834682465,5.220297379525572e-11
Multi-Modal Steamboat (UNI),0.0,1,0.08786585927009583,0.9999990590706782
Multi-Modal Steamboat (UNI),0.5,0,0.05591464787721634,1.0528964746012576e-12
Multi-Modal Steamboat (UNI),0.2,2,0.054707251489162445,9.06009980854736e-09
Multi-Modal Steamboat (UNI),0.2,0,0.05379154905676842,4.263969953092065e-36
Multi-Modal Steamboat (UNI),0.2,1,0.05432312190532684,4.142390400832532e-20
Multi-Modal Steamboat (UNI),0.1,2,0.05296683311462402,3.9713650929795484e-23
Multi-Modal Steamboat (UNI),0.0,0,0.05617784336209297,2.7295101919405712e-21
Multi-Modal Steamboat (NOISE),1.0,1,0.1018393486738205,1.644956000452542e-06
Multi-Modal Steamboat (NOISE),1.0,0,0.1018393486738205,6.038071600190487e-13
Multi-Modal Steamboat (NOISE),0.9,1,0.09631993621587753,0.9962609451932682
Multi-Modal Steamboat (NOISE),0.9,2,0.09323105961084366,0.9999999999773557
Multi-Modal Steamboat (NOISE),0.8,1,0.08632838726043701,1.0
Multi-Modal Steamboat (NOISE),0.7,2,0.09307435899972916,0.9999999999018745
Multi-Modal Steamboat (NOISE),1.0,2,0.07193836569786072,0.9999999398726481
Multi-Modal Steamboat (NOISE),0.6,2,0.08701533824205399,0.999999998571519
Multi-Modal Steamboat (NOISE),0.8,2,0.07317118346691132,0.9999999858510558
Multi-Modal Steamboat (NOISE),0.7,1,0.0791780948638916,0.9999841668179147
Multi-Modal Steamboat (NOISE),0.6,1,0.07989136874675751,1.0
Multi-Modal Steamboat (NOISE),0.9,0,0.09390825033187866,1.1908728060503179e-16
Multi-Modal Steamboat (NOISE),0.5,0,0.09436313062906265,0.9999999871776373
Multi-Modal Steamboat (NOISE),0.5,1,0.08493852615356445,1.0
Multi-Modal Steamboat (NOISE),0.3,2,0.06915152072906494,8.872285603077015e-28
Multi-Modal Steamboat (NOISE),0.3,0,0.056062087416648865,2.958631904012097e-09
Multi-Modal Steamboat (NOISE),0.4,2,0.05534546449780464,2.6524987226753694e-22
Multi-Modal Steamboat (NOISE),0.8,0,0.05759306997060776,7.433039984019257e-15
Multi-Modal Steamboat (NOISE),0.4,0,0.05389952287077904,1.7387781174796483e-09
Multi-Modal Steamboat (NOISE),0.7,0,0.05532097443938255,2.9047527850328943e-09
Multi-Modal Steamboat (NOISE),0.5,2,0.057105131447315216,6.599566179595201e-08
Multi-Modal Steamboat (NOISE),0.4,1,0.054738279432058334,1.7133555808451628e-19
Multi-Modal Steamboat (NOISE),0.3,1,0.05599033460021019,2.8708370278815814e-25
Multi-Modal Steamboat (NOISE),0.0,1,0.09601306170225143,5.797636145448342e-10
Multi-Modal Steamboat (NOISE),0.0,0,0.08504369109869003,1.5915364790490415e-35
